<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IranAntibiotic.MFG,20240306,25800.00,26100.00,24650.00,25100.00,156966261450,6249223,12847,D,25400.00,24900.00
IranAntibiotic.MFG,20240305,24750.00,25500.00,24600.00,25400.00,243790439450,9590026,14224,D,24300.00,25500.00
IranAntibiotic.MFG,20240304,24250.00,24850.00,23550.00,24300.00,263334291900,10843931,22535,D,24550.00,24600.00
IranAntibiotic.MFG,20240303,25150.00,25500.00,24050.00,24550.00,315449839950,12855461,36011,D,24700.00,24200.00
IranAntibiotic.MFG,20240302,24450.00,25150.00,24050.00,24700.00,272681163800,11040050,33236,D,24750.00,24750.00
IranAntibiotic.MFG,20240228,24800.00,25450.00,24250.00,24750.00,432272860150,17457996,79470,D,24950.00,24650.00
IranAntibiotic.MFG,20240227,24900.00,25400.00,24900.00,24950.00,913759831300,36604191,106315,D,26200.00,24900.00
IranAntibiotic.MFG,20240226,26200.00,26200.00,26200.00,26200.00,142195155200,5427296,1540,D,27550.00,26200.00
IranAntibiotic.MFG,20240224,27550.00,27550.00,27550.00,27550.00,92267897850,3349107,1498,D,29000.00,27550.00
IranAntibiotic.MFG,20240221,29950.00,30000.00,28600.00,29000.00,381118469550,13144376,38415,D,30100.00,28600.00
IranAntibiotic.MFG,20240220,30100.00,30100.00,29700.00,30100.00,3430197321800,114003526,344742,D,28700.00,30050.00
IranAntibiotic.MFG,20240219,28700.00,28700.00,28700.00,28700.00,476906551100,16616953,24892,D,27350.00,28700.00
IranAntibiotic.MFG,20240218,27350.00,27350.00,27350.00,27350.00,346885602050,12683203,17911,D,26050.00,27350.00
IranAntibiotic.MFG,20240217,26050.00,26050.00,26050.00,26050.00,266776903800,10240956,14987,D,24850.00,26050.00
IranAntibiotic.MFG,20240214,24850.00,24850.00,24850.00,24850.00,213172270850,8578361,22550,D,23700.00,24850.00
IranAntibiotic.MFG,20240213,23700.00,23700.00,23700.00,23700.00,137374134900,5796377,4414,D,22600.00,23700.00
IranAntibiotic.MFG,20240212,22600.00,22600.00,22600.00,22600.00,88172295400,3901429,3736,D,21550.00,22600.00
IranAntibiotic.MFG,20240210,21550.00,21550.00,21550.00,21550.00,88472512150,4105453,1988,D,20559.00,21550.00
IranAntibiotic.MFG,20240207,22511.00,22511.00,20000.00,20559.00,1980813035192,96347764,1126124,D,1000.00,20000.00
